iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,Latitude,Longitude,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,population,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BGR,Europe,Bulgaria,7/21/24,1329588,69,9.86,38700,42.733883	,25.48583	,0,196820.77,10.21,1.46,5728.82,6781955,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.18,44.7,20.8,13.27,18563.31,1.5,424.69,5.81,30.1,44.4,,7.45,75.05,0.82,6781955,,,,
BFA,Africa,Burkina Faso,7/21/24,22139,0,0,400,12.238333	,-1.561593	,0,938.98,0,0,16.96,22673764,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.15,17.6,2.41,1.36,1703.1,43.7,269.05,2.42,1.6,23.9,11.88,0.4,61.58,0.45,22673764,,,,
BDI,Africa,Burundi,7/21/24,54569,0,0,15,-3.373056	,29.918886	,0,3879.35,0,0,1.07,12889583,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.06,17.5,2.56,1.5,702.22,71.7,293.07,6.05,,,6.14,0.8,61.58,0.43,12889583,,,,
KHM,Asia,Cambodia,7/21/24,139310,5,0.71,3056,12.565679	,104.990963	,0,7892.8,0.28,0.04,173.14,16767851,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.67,25.6,4.41,2.38,3645.07,,270.89,4,2,33.7,66.23,0.8,69.82,0.59,16767851,,,,
CMR,Africa,Cameroon,7/21/24,125241,0,0,1974,7.369722	    ,12.354722	,0,4294.2,0,0,67.68,27914542,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.88,18.8,3.16,1.92,3364.93,23.8,244.66,7.2,,,2.74,1.3,59.29,0.56,27914542,,,,
CAN,North America,Canada,7/21/24,4818690,467,66.71,55280,,,0.86,121183.79,11.74,1.68,1390.22,38454328,0.02,,,,,,,,,,,,,,,,,,,,,,,,494,,,,,13,,,,4.04,41.4,16.98,10.8,44017.59,0.5,105.6,7.37,12,16.6,,2.5,82.43,0.93,38454328,,,,
CPV,Africa,Cape Verde,7/21/24,64474,0,0,417,16.002082	,-24.013197	,0,122804.92,0,0,794.27,593162,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.58,25.7,4.46,3.44,6222.55,,182.22,2.42,2.1,16.5,,2.1,72.98,0.66,593162,,,,
CYM,North America,Cayman Islands,7/21/24,31472,0,0,37,19.513469	,-80.566956	,0,422148.62,0,0,496.3,68722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.5,,,,49903.03,,,13.22,,,,,83.92,,68722,,,,
CAF,Africa,Central African Republic,7/21/24,15441,0,0,113,6.611111	    ,20.939444	,0,2891.2,0,0,21.16,5579148,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48,18.3,3.66,2.25,661.24,,435.73,6.1,,,16.6,1,53.28,0.4,5579148,,,,
TCD,Africa,Chad,7/21/24,7702,0,0,194,15.454166	,18.732207	,0,378.7,0,0,9.54,17723312,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.83,16.7,2.49,1.45,1768.15,38.4,281,6.1,,,5.82,,54.24,0.4,17723312,,,,
